# Astro metrics (apps/web)
captured_at 2026-08-13T11:08:22Z
node_modules_total 1.5G
apps_web_node_modules 177M
apps_web_next_node_modules 116M
apps_studio_node_modules 45M
typecheck_s 3.078
lint_s 0.150
build_s 5.566
build_output_dist 5.2M
build_output_vercel 51M
ttfb_dev/_median_s 0.013785
ttfb_dev/blog_median_s 0.120424
ttfb_dev/blog/i-built-smol_median_s 0.120525
ttfb_dev/projects_median_s 0.010907
ttfb_dev/contact_median_s 0.004678
html_bytes/ 115331
html_bytes/blog 99145
html_bytes/blog/i-built-smol 124361
dev_rss_kb_sum 607060
dev_rss_mb 592.8
dev_ready_line ready in 2053 ms
